q_id,eng,class,chapter
5efcde7df4ab8e55cf7bd13a,"A \( 1 M e V \) proton is sent against a gold
leaf \( (Z=79) . \) Calculate the distance of
closest approach for head-on collision.",12,ATOMS
5eff1ddcbd1a9b18d839f17a,"The lowest value of paramagnetism is shown by?
\( \mathbf{A} \cdot\left[\operatorname{Co(CN)}_{6}\right]^{3} \)
B . \( \left[F e(C N)_{6}\right]^{3-} \)
c. \( \left[C r(C N)_{6}\right]^{3-} \)
D. \( \left[M n(C N)_{6}\right]^{3} \)",12,COORDINATION COMPOUNDS
5f038474e806777a1a35c423,"The most ionic compound will be formed between:
A. I and IV
B. I and
c. III and IV
D. III and v",11,CLASSIFICATION OF ELEMENTS AND PERIODICITY IN PROPERTIES
5d5e1fa5805bfe1a30268679,"Q. 25 Which of the following monosaccharides are present as five membered
cyclic structure (furanose structure)?
(a) Ribose (b) Glucose (c) Fructose (d) Galactose
",11,BIOMOLECULES
5efde627bd1a9b18d8367f80,"In a compound \( C, H \) and \( N \) are present
in 9: 1: 3.5 by weight. If the molecular mass of the compound is \( 108, \) what is
the molecular formula?
A \( \cdot C_{6} H_{8} N_{2} \)
в. \( C_{6} H_{7} N \)
c. \( C_{2} H_{8} N_{2} \)
D. \( C_{6} H_{5} N_{2} \)",11,SOME BASIC CONCEPTS OF CHEMISTRY
5eff2108bd1a9b18d839fc8b,"The graph below shows potential energy and kinetic energy plotted against time of a ball thrown straight up from the 10
storey building.
At what point on the graph does the
potential energy of the object equal the
kinetic energy of the object?
\( A \cdot A \)
в. \( B \)
\( c . c \)
D. \( D \)
E. \( E \)",11,"WORK, ENERGY AND POWER"
5f02ff85e806777a1a339c5d,"A wave is represented by the equation \( \boldsymbol{y}=\boldsymbol{A} \sin (\mathbf{1 0} \boldsymbol{\pi} \boldsymbol{x}+\mathbf{1 5} \boldsymbol{\pi} \boldsymbol{t}+\boldsymbol{\pi} / \mathbf{3}), \) where
\( x \) is in metres and \( t \) is in seconds. What
is the wavelength of this wave travelling in the positive x-direction?
A. \( 0.5 m \)
в. \( 0.2 m \)
c. \( 0.25 m \)
D. \( 0.75 m \)",11,WAVES
5f07055bc7d92c723b793dd5,"In which of the following complexes
more than one type of structural isomerism is possible? This question has multiple correct options
\( \mathbf{A} \cdot\left[\operatorname{Co}\left(N H_{3}\right)_{5}\left(N O_{2}\right)\right] C l \)
B . \( \left[\operatorname{Co}\left(N H_{3}\right)_{5}\left(H_{2} O\right)\right]\left(N O_{2}\right)_{3} \)
\( \mathbf{c} \cdot\left[P t\left(N H_{3}\right)_{4}\right]\left[P t(S C N)_{4}\right] \)
\( \mathbf{D} \cdot\left[C r(D M G)_{3}\right] \)",12,COORDINATION COMPOUNDS
5f02dbd4e806777a1a331782,"Which of the following complex shows
ionization isomerism :
\( ^{\mathbf{A}} \cdot\left[C r\left(N H_{3}\right)_{6}\right] C l_{3} \)
в. \( \left[C r(e n)_{2}\right] C l_{2} \)
\( c \)
\( \left[\mathrm{Cr}(e n)_{3}\right] \mathrm{Cl}_{3} \)
D. \( \left[\operatorname{CoBr}\left(N H_{3}\right)_{5}\right] S O_{4} \)",12,COORDINATION COMPOUNDS
5eff5ab8bd1a9b18d83ac3ba,"toppr \( t \)
Q Type your question
This question has multiple correct options
\( A \)
B.
\( c \)
D",12,HALOALKANES AND HALOARENES
