q_id,eng,class,chapter,taxonomy_gold
5efcde7df4ab8e55cf7bd13a,"A \( 1 M e V \) proton is sent against a gold
leaf \( (Z=79) . \) Calculate the distance of
closest approach for head-on collision.",12,ATOMS,Physics >> Atoms >> Alpha-particle scattering and Rutherford’s nuclear model
5eff1ddcbd1a9b18d839f17a,"The lowest value of paramagnetism is shown by?
\( \mathbf{A} \cdot\left[\operatorname{Co(CN)}_{6}\right]^{3} \)
B . \( \left[F e(C N)_{6}\right]^{3-} \)
c. \( \left[C r(C N)_{6}\right]^{3-} \)
D. \( \left[M n(C N)_{6}\right]^{3} \)",12,COORDINATION COMPOUNDS,Chemistry >> Coordination Compounds >> Bonding in coordination compounds
5f038474e806777a1a35c423,"The most ionic compound will be formed between:
A. I and IV
B. I and
c. III and IV
D. III and v",11,CLASSIFICATION OF ELEMENTS AND PERIODICITY IN PROPERTIES,Chemistry >> Classification of Elements and Periodicity in Properties >> Periodic trends in properties of elements
5d5e1fa5805bfe1a30268679,"Q. 25 Which of the following monosaccharides are present as five membered
cyclic structure (furanose structure)?
(a) Ribose (b) Glucose (c) Fructose (d) Galactose
",11,BIOMOLECULES,Chemistry >> Biomolecules >> Carbohydrates
5efde627bd1a9b18d8367f80,"In a compound \( C, H \) and \( N \) are present
in 9: 1: 3.5 by weight. If the molecular mass of the compound is \( 108, \) what is
the molecular formula?
A \( \cdot C_{6} H_{8} N_{2} \)
в. \( C_{6} H_{7} N \)
c. \( C_{2} H_{8} N_{2} \)
D. \( C_{6} H_{5} N_{2} \)",11,SOME BASIC CONCEPTS OF CHEMISTRY,Chemistry >> Some Basic Concepts of Chemistry >> Percentage composition
5eff2108bd1a9b18d839fc8b,"The graph below shows potential energy and kinetic energy plotted against time of a ball thrown straight up from the 10
storey building.
At what point on the graph does the
potential energy of the object equal the
kinetic energy of the object?
\( A \cdot A \)
в. \( B \)
\( c . c \)
D. \( D \)
E. \( E \)",11,"WORK, ENERGY AND POWER","Physics >> Work, Energy and Power >> Conservation of mechanical energy"
5f02ff85e806777a1a339c5d,"A wave is represented by the equation \( \boldsymbol{y}=\boldsymbol{A} \sin (\mathbf{1 0} \boldsymbol{\pi} \boldsymbol{x}+\mathbf{1 5} \boldsymbol{\pi} \boldsymbol{t}+\boldsymbol{\pi} / \mathbf{3}), \) where
\( x \) is in metres and \( t \) is in seconds. What
is the wavelength of this wave travelling in the positive x-direction?
A. \( 0.5 m \)
в. \( 0.2 m \)
c. \( 0.25 m \)
D. \( 0.75 m \)",11,WAVES,Physics >> Waves >> Displacement relation in a progressive wave
5f07055bc7d92c723b793dd5,"In which of the following complexes
more than one type of structural isomerism is possible? This question has multiple correct options
\( \mathbf{A} \cdot\left[\operatorname{Co}\left(N H_{3}\right)_{5}\left(N O_{2}\right)\right] C l \)
B . \( \left[\operatorname{Co}\left(N H_{3}\right)_{5}\left(H_{2} O\right)\right]\left(N O_{2}\right)_{3} \)
\( \mathbf{c} \cdot\left[P t\left(N H_{3}\right)_{4}\right]\left[P t(S C N)_{4}\right] \)
\( \mathbf{D} \cdot\left[C r(D M G)_{3}\right] \)",12,COORDINATION COMPOUNDS,Chemistry >> Coordination Compounds >> Isomerism in coordination compounds
5f02dbd4e806777a1a331782,"Which of the following complex shows
ionization isomerism :
\( ^{\mathbf{A}} \cdot\left[C r\left(N H_{3}\right)_{6}\right] C l_{3} \)
в. \( \left[C r(e n)_{2}\right] C l_{2} \)
\( c \)
\( \left[\mathrm{Cr}(e n)_{3}\right] \mathrm{Cl}_{3} \)
D. \( \left[\operatorname{CoBr}\left(N H_{3}\right)_{5}\right] S O_{4} \)",12,COORDINATION COMPOUNDS,Chemistry >> Coordination Compounds >> Isomerism in coordination compounds
5efea9eebd1a9b18d838853c,"Green light wavelength \( 5460 \AA \) is incident on an air-glass interface. If the refractive index of glass is \( 1.5, \) the wavelength of light in glass would be \( \left(\boldsymbol{C}=\mathbf{3} \times \mathbf{1 0}^{\mathbf{8}} \quad \boldsymbol{m} \boldsymbol{s}^{-\mathbf{1}}\right) \)
A. \( 3640 \AA \)
в. 5460 ,
c. \( 4861 \dot{h} \)
D. None of these",12,RAY OPTICS AND OPTICAL INSTRUMENTS,Physics >> Ray Optics and Optical Instruments >> Refraction
5efe830ebd1a9b18d8382016,"The \( K_{a}-X \) ray of Molybdenum has a
wavelength of \( 71 \times 10^{-12} \) m. If the
energy of a Molybdenum atom with \( \mathrm{K} \) electron removed is \( 23.32 K e V \), then
the energy of Molybdenum atom when
an L-electron removed is:
\( \left(h c=12.42 \times 10^{-7} e V\right) \)
A \( .40 .82 \mathrm{KeV} \)
в. \( 23.32 \mathrm{KeV} \)
\( \mathbf{c} .5 .82 \mathrm{KeV} \)
D. \( 17.5 \mathrm{KeV} \)",12,ATOMS,Physics >> Atoms >> Atomic spectra
5efce5e1f4ab8e55cf7be4b8,"Artificial rain based on the principle of :
A. coagulation
B. electro phroetic effect
C. emulsification
D. a Tyndall effect",12,SURFACE CHEMISTRY,Chemistry >> Surface Chemistry >> Colloids
5efe3278bd1a9b18d8374e3b,"Silver is removed electrolytically from
\( 200 m L \) of a \( 0.1 N \) solution of \( A g N O_{3} \)
by a current of 0.1 A. How long will it take to remove half of the silver from the solution?
A . \( 0.1 s \)
B. \( 100 s \)
\( \mathbf{c} .965 s \)
D. \( 9650 s \)",12,ELECTROCHEMISTRY,Chemistry >> Electrochemistry >> Electrolytic cells and electrolysis
5eff51e0bd1a9b18d83aa504,"A reference frame attached to the earth
This question has multiple correct options
A. is an inertial frame by definition.
B. cannot be an inertial frame because the earth is
revolving around the sun.
C. is an inertial frame because Newtons laws are applicable in this frame.
D. cannot be an inertial frame because the earth is rotating about its own axis.",11,MOTION IN A STRAIGHT LINE,Physics >> Motion in a Straight Line >> Relative velocity
5efefc69bd1a9b18d8397d77,"A wave equation which gives the displacement along Y-direction is given \( \boldsymbol{y}=\mathbf{1 0}^{4} \sin (\mathbf{6 0} \boldsymbol{t}+\mathbf{2} \boldsymbol{x}) \) where \( \boldsymbol{x} \) and \( \boldsymbol{y} \)
are in meter and \( t \) in sec. Among the
following choose the correct statement:
This question has multiple correct options
A. It represents a wave propagating along positive x-axis with a velocity of \( 30 \mathrm{m} / \mathrm{s} \)
B. It represents a wave propagating along negative x-axis with a velocity of \( 120 \mathrm{m} / \mathrm{s} \)
c. It represents a wave propagating along negative x-axis with a velocity of \( 30 \mathrm{m} / \mathrm{s} \).
D. It represents a wave propagating along negative xaxis with a velocity of \( 10^{4} \mathrm{m} / \mathrm{s} \)",11,OSCILLATIONS,Physics >> Oscillations >> Simple harmonic motion
5f02dcfce806777a1a3319e9,"Solubility of a substance depends on:
A. nature of solute
B. nature of solvent
c. temperature
D. all of the above",11,EQUILIBRIUM,Chemistry >> Equilibrium >> Factors affecting equilibria
5efeb0febd1a9b18d8389774,Answer the following. What is meant by the power of accommodation of eye?,12,RAY OPTICS AND OPTICAL INSTRUMENTS,Physics >> Ray Optics and Optical Instruments >> Refraction at spherical surfaces and by lenses
5da7f4af738bf611fc6f1408,"51. Which of the following will give allyl halide?
(a) H,C = CH – CH, SOC
Cl2,800K
NBS
(b) HỌC = CH - CH, -
(C) HỌC = CH - CH,
(d) H,C-CH=CH, + HBr
H202
",12,HALOALKANES AND HALOARENES,Chemistry >> Haloalkanes and Haloarenes >> Methods of preparation
5efd84e3bd1a9b18d8357a01,"State whether the given statement is true or false:

Maximum ionization energy stands for He.",11,CLASSIFICATION OF ELEMENTS AND PERIODICITY IN PROPERTIES,Chemistry >> Classification of Elements and Periodicity in Properties >> Periodic trends in properties of elements
5efdf456bd1a9b18d836a52e,"Which of the following enzyme is allosteric?
A. Hexokinase
B. Glucokinase
c. Glucose-6-phosphatase
D. Lipase",11,BIOMOLECULES,Chemistry >> Biomolecules >> Enzymes
5efe1f34bd1a9b18d8371a5c,"Complete the following statements with an appropriate word / term to be filled in the blank space(s).
Magnetic fields are produced by
A. Currents
B. Charges
c. capaciatnce
D. Inductance",12,MOVING CHARGES AND MAGNETISM,Physics >> Moving Charges and Magnetism >> Magnetic field due to a current element — Biot-Savart law
5d70aa5335e7ac0b44a6ae8b,"Question 14. CoSO CI-5NH3 exists in two isomeric forms 'A' and 'B'.
Isomer 'A' reacts with AgNO3 to give white precipitate, but does not react
with BaCl,. Isomer 'B' gives white precipitate with BaCl, but does not
react with AgNO3. Answer the following questions.
(1) Identity 'A' and 'B' and write their structural formulae.
(ii) Name the type of isomerism involved.
(iii) Give the IUPAC name of 'A' and 'B'.
cufton m e precipitato trith AONO so in it is present
",12,COORDINATION COMPOUNDS,Chemistry >> Coordination Compounds >> Isomerism in coordination compounds
5efe0215bd1a9b18d836ca6e,"Which of the following is zerone?
A \( \cdot C H_{3} C H O \)
в. \( C H_{3} O H \)
\( \mathrm{c} \cdot \mathrm{CH}_{4} \)
D. \( C_{2} H_{5} O H \)",11,ORGANIC CHEMISTRY – SOME BASIC PRINCIPLES AND TECHNIQUES,Chemistry >> Organic Chemistry – Some Basic Principles and Techniques >> Classification of organic compounds
5f06e789c7d92c723b78d87f,"In the relation, \( \boldsymbol{P}=\frac{\boldsymbol{\alpha}}{\boldsymbol{\beta}} \boldsymbol{e}^{\boldsymbol{\alpha} \boldsymbol{z} / k \boldsymbol{\theta}} \boldsymbol{P} \) is
pressure, \( Z \) is distance, \( K \) is Boltzmann
constant and \( \theta \) is the temperature. The
dimensions of \( \beta \) will be
A \( \cdot\left[M^{\circ} L^{2} T^{0}\right] \)
в. \( \left[M L^{2} T\right] \)
\( \mathbf{c} \cdot\left[M L^{\circ} T^{1}\right] \)
D. \( \left[M^{\circ} L^{2} T^{-1}\right] \)",11,UNITS AND MEASUREMENTS,Physics >> Units and Measurements >> Dimensions of physical quantities
5f02fb5ae806777a1a338ce5,"The work done to increase the radius of
orbit of a satellite of mass \( \boldsymbol{m} \) revolving around a planet of mass \( M \) from orbit of radius \( R \) into another orbit of radius
\( 3 R \) is :
\( ^{\mathrm{A}} \cdot \frac{2 G M m}{3 R} \)
в. \( \frac{G M m}{R} \)
c. \( \frac{G M m}{6 R} \)
D. \( \frac{G M m}{24 R} \)",11,"WORK, ENERGY AND POWER","Physics >> Work, Energy and Power >> Work done by a variable force"
5efe89b7bd1a9b18d8383144,"Q Type your question-
uniform transverse magnetic field B.
The field occupies a region of space by width 'd'. If ' \( \alpha \) ' be the angle of deviation
of proton from initial direction of motion (see figure), the value of \( \sin \alpha \) will be:
\( ^{\text {A }} \cdot B d \sqrt{\frac{q}{2 m V}} \)
B. \( \frac{B}{d} \sqrt{\frac{q d}{m V}} \)
\( ^{\mathbf{C}} \cdot q V \sqrt{\frac{B d}{2 m}} \)
D. \( \frac{B}{d} \sqrt{\frac{q}{2 m V}} \)",12,MOVING CHARGES AND MAGNETISM,Physics >> Moving Charges and Magnetism >> Motion in a magnetic field
5efe7449bd1a9b18d837fb98,"A student appears in an exam and is asked to measure the length of a side of a triangle. Which of the following
instruments is suitable for the
purpose?
A. Protactor
B. Microscope
c. Vernier callipers
D. Meter scale",11,UNITS AND MEASUREMENTS,Physics >> Units and Measurements >> Measurement of length
5efe85e7bd1a9b18d8382709,"Given below are the names of few
elements based on their position in the periodic table. Identify the element which is not correctly placed.
A. An element which tends to lose three electrons Aluminium
B. An element which tends to gain two electrons - lodine
c. An element with valency four - silicon
D. A transuranium element- Plutonium",11,CLASSIFICATION OF ELEMENTS AND PERIODICITY IN PROPERTIES,Chemistry >> Classification of Elements and Periodicity in Properties >> Periodic trends in properties of elements
5f02c4b1e806777a1a32c3a2,"Name the most abundant elements
which occur in nucleic acid
macromolecules
A. \( C, H, O, N, S, \)
в. \( C, O, N, S \)
c. \( C, O, P, S \)
D. \( C, H, O, N, P \)
ह. \( H, O, P \)",11,BIOMOLECULES,Chemistry >> Biomolecules >> Nucleic acids
5efdfc6bbd1a9b18d836bb13,"From which of the following, methanol is not used?
A. For making dyes, phenol and polymer
B. Used as raw material in plastic industry
c. To preserve residues of dead animals
D. In production of ammonia",12,"ALCOHOLS, PHENOLS AND ETHERS","Chemistry >> Alcohols, Phenols and Ethers >> Some commercially important alcohols"
